00:06:50 704	Layer<>: RunProc is ending, ret=0
00:06:52 113	Error:Loading loader failed,err=-9
00:07:08 247	瑞芯微开发工具 v3.3.1.0 start run
00:07:45 696	Error:Loading loader failed,err=-9
00:07:50 706	瑞芯微开发工具 v3.3.1.0 start run
00:07:56 547	Error:RKU_Write-->WriteFile failed,bRet=0,err=31,size=31,write=0
00:08:18 605	INFO:RKU_ResetPipe-->DeviceIoControl OK
00:08:18 615	Error:RKU_Write-->WriteFile failed,bRet=0,err=31,size=31,write=0
00:08:34 977	Error:RKU_Write-->WriteFile failed,bRet=1,err=0,size=31,write=0
00:08:36 990	INFO:RKU_ResetPipe-->DeviceIoControl OK
00:08:42 012	Error:RKU_Write-->WriteFile failed,bRet=1,err=0,size=31,write=0
00:08:42 022	Error:ResetMaskromProc-->RKU_ResetDevice failed,err=-3
00:09:49 504	Error:RKU_Write-->WriteFile failed,bRet=1,err=0,size=31,write=0
00:09:51 531	INFO:RKU_ResetPipe-->DeviceIoControl OK
00:09:56 548	Error:RKU_Write-->WriteFile failed,bRet=1,err=0,size=31,write=0
00:09:56 560	Error:ResetDeviceProc-->RKU_ResetDevice failed,err=-3
00:10:07 354	Error:RKU_Write-->WriteFile failed,bRet=1,err=0,size=31,write=0
00:10:09 380	INFO:RKU_ResetPipe-->DeviceIoControl OK
00:10:14 408	Error:RKU_Write-->WriteFile failed,bRet=1,err=0,size=31,write=0
00:10:31 697	Error:RKU_Write-->WriteFile failed,bRet=0,err=31,size=31,write=0
00:10:53 758	INFO:RKU_ResetPipe-->DeviceIoControl OK
00:10:53 769	Error:RKU_Write-->WriteFile failed,bRet=0,err=31,size=31,write=0
00:11:14 215	Error:RKU_Write-->WriteFile failed,bRet=1,err=0,size=31,write=0
00:11:14 225	Error:ListStorageProc-->RKU_ReadCapability failed,err=-3
00:11:34 545	瑞芯微开发工具 v3.3.1.0 start run
00:12:25 463	Layer<2-3-3-1>:下载Boot开始
00:12:25 528	<LAYER 2-3-3-1> ERROR:Boot_VendorRequest-->DeviceIoControl failed,Total(67586),Sended(0),crc(ca54),err(31)
00:12:25 539	<LAYER 2-3-3-1> ERROR:DownloadBoot-->Boot_VendorRequest471 failed,index(0)
00:12:25 550	Error:Layer<2-3-3-1>:下载Boot失败
00:12:25 572	Layer<2-3-3-1>: RunProc is ending, ret=0
00:12:45 730	Layer<2-3-3-1>:测试设备开始
00:12:45 744	Layer<2-3-3-1>:测试设备成功
00:12:45 757	Layer<2-3-3-1>:校验芯片开始
00:12:45 769	Layer<2-3-3-1>:校验芯片成功
00:12:45 782	Layer<2-3-3-1>:获取FlashInfo开始
00:12:45 793	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
00:12:45 803	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
00:12:45 815	Layer<2-3-3-1>:获取FlashInfo成功
00:12:45 828	Layer<2-3-3-1>:准备IDB开始
00:12:45 838	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
00:12:45 860	Layer<2-3-3-1>:准备IDB成功
00:12:45 873	Layer<2-3-3-1>:下载IDB开始
00:12:46 071	Layer<2-3-3-1>:下载IDB成功
00:12:46 084	Layer<2-3-3-1>:等待Loader开始
00:12:52 047	Error:Layer<2-3-3-1>:等待Loader失败
00:12:52 068	Layer<2-3-3-1>: RunProc is ending, ret=0
00:13:27 404	Layer<2-3-3-1>:下载Boot开始
